,date,content,higher_order,higher_order_e,网管办,网监,boss_order,boss_order_e,老沉,陈彤,老陈,info_action,info_action_e,行动性,煽动,surveillance,surveillance_e,上报,discussion_protect,discussion_protect_e,攻击,攻击.*党,攻击.*政府,攻击.*领导人,攻击.*制度,person_p,person_p_e,习近平,温家宝,温,薄熙来,近平,温家,周永康,习,胡锦涛,江泽民,person_y,person_y_e,陈光诚,person_b,person_b_e,foreign,foreign_e,美国,香港,sina,sina_e,新浪,person,org,gpe,person_n,org_n,gpe_n
29,2011年10月19日,华尔街日报中文版：审计上海世博会 2.42亿收入不知去向 此内容网管办要求清理，报老陈同意，微博中私密。审计上海世博会 2.42亿收入不知去向 此内容微博中见到私密 [URL],['网管办'],1,1,0,['老陈'],1,0,0,1,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],['华尔街'],['上海'],0,1,1
28,2011年10月19日,此图私密,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
26,2011年10月19日,关于山东临沂党政考察团游走丽江的事情，微博中讨论较多，一般谈论的不必处理。,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],"['山东', '丽江']",0,0,2
25,2011年10月19日,党的十七届六中全会闭幕，决定党的十八大于2012年下半年在北京召开，微博中注意讨论联系十八大的。,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],['北京'],0,0,1
32,2011年10月19日,崔武年：政治改革的十三点看法。网监要求清理 此内容私密,['网监'],1,0,1,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,['崔'],[],[],1,0,0
47,2011年10月22日,微博中有看到内蒙一牧民被石油的大车轧死相关的消息私密处理，并报负责人,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],['内蒙'],0,0,1
46,2011年10月22日,赵本山上午在北京接受记者访问时说：我以前是靠扮演盲人的小品养家糊口的，之后才混出点动静。我认识好多盲人朋友，他们也都不容易，我也是昨天才听说山东有这么个事儿，太不像话！我会向有关部门反映反映，不行的话我过两天就去那地方瞧瞧，你们媒体也给我捎个话成不？ 虚假消息，见到私密处理。,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,['赵本山'],1,[],0,0,0,[],0,0,['赵本山'],[],"['山东', '北京']",1,0,2
45,2011年10月22日,[CODE] 2011年10月20日在鄂尔多斯市乌审旗嘎鲁图镇呼和陶勒盖嘎查又发生了一起残杀牧民的事件 见到私密处理。,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
44,2011年10月22日,【用四个字概括历史（转发）】： 商：酒池肉林， 周：贵族世袭， 秦：言论管制， 汉：好大喜功， 晋：炫富糜烂， 南北朝：文化断层， 隋：大兴土木， 唐：万国马屁， 宋：外交疲软， 元：苛捐杂税， 明：党派山头， 清：高度专制， 民国：内忧外困， 当今：综上所述。这个段子看到私密处理,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,"['唐', '周', '宋', '秦', '晋']",['万国'],['汉'],5,1,1
42,2011年10月22日,"SINAWEIBO发文称山东利津县姜家庄村孕妇马继红被利津街道计生办强行带到利津县中心医院引产致死,...其微博文称:一个6个多月的孕妇,本月 12 号在输氧时,被计生局 10 多个人强行摘下氧气罩,做引产手术,...至今,距案发已过去数天,该事件无任何人被追究责任。网监要求处理，看到私密",['网监'],1,0,1,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],"['利津街道计生办', 'SINAWEIBO', '马继红', '利津县中心医院']","['山东', '姜家庄村', '利津县']",0,4,3
